
Analysis completed in 330.28 seconds.
FileName: Sample Ch 2.docx,  Size: 178.52 KB

Processing started at: 2024-12-10T05:06:04.787Z

Line 17: (NLP) ->  Suggestions: alp, nap, nip, LP, Np
Line 19: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 23: modelling. ->  Suggestions: modeling
Line 23: dfgjskdhf ->  No suggestions available
Line 27: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 27: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 27: interpretable ->  No suggestions available
Line 27: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 31: utilised ->  Suggestions: utilized
Line 31: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 31: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 35: NLP. ->  Suggestions: alp, nap, nip, LP, Np
Line 35: NLP. ->  Suggestions: alp, nap, nip, LP, Np
Line 35: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 35: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 35: normalisation ->  Suggestions: normalization
Line 35: lemmatisation. ->  No suggestions available
Line 35: tokenisation ->  No suggestions available
Line 35: modelling, ->  Suggestions: modeling
Line 35: emphasising ->  Suggestions: emphasizing
Line 39: perceptron ->  Suggestions: perception
Line 39: modelling ->  Suggestions: modeling
Line 39: multilayer ->  Suggestions: multiplayer
Line 39: perceptrons ->  Suggestions: perceptions
Line 39: backpropagation. ->  No suggestions available
Line 39: hyperparameters ->  No suggestions available
Line 45: Joseph ->  Suggestions: Joseph, Josephs
Line 45: Weizenbaum ->  No suggestions available
Line 45: ELIZA ->  Suggestions: Eliza, Elisa, Liza
Line 45: (Weizenbaum ->  No suggestions available
Line 45: chatbot ->  Suggestions: sabot
Line 45: Eugene ->  Suggestions: Eugene, Eugenie
Line 45: Goostman, ->  Suggestions: dustman, footman
Line 45: chatbot, ->  Suggestions: sabot
Line 45: Turing ->  Suggestions: tiring, Turing, curing, during, luring, taring, touring, truing, tubing, tuning, turfing, turning, Turin
Line 45: Eugene ->  Suggestions: Eugene, Eugenie
Line 45: revolutionised ->  Suggestions: revolutionized
Line 45: (Vaswani ->  No suggestions available
Line 45: et ->  Suggestions: er, pt, qt, rt, st, wt, ET, eta, etc, t, E, Ea, Ed, Eh, Em, En, Es, ETD, Eu, Ex, at, bet, ct, eat, est, ext, ft, get, gt, ht, it, jet, kt, let, met, mt, net, pet, set, vet, wet, yet, EC, EDT, EFT, EMT, Lt, NT, OT, Te, TET, Ut, Vt, YT
Line 45: al. ->  Suggestions: all, am, Al, alb, ale, alp, alt, l, A, Ab, Ac, Ad, Ag, Ah, Ala, Ali, An, Ar, As, At, Au, Av, Aw, Ax, ail, awl, bl, cal, cl, fl, gal, kl, la, ll, ml, pal, pl, val, AA, AF, AI, AK, AOL, AP, ASL, AZ, HAL, IL, SAL, Tl, UL, XL
Line 45: ChatGPT, ->  Suggestions: catgut
Line 45: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 51: contextualisation, ->  Suggestions: contextualization
Line 51: Rahul’. ->  Suggestions: Raoul, Raul
Line 51: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 55: Processin ->  Suggestions: processing, procession
Line 57: Alister ->  Suggestions: blister, glister, Lister
Line 57: Elaine ->  Suggestions: Elaine, Blaine
Line 57: Morgan ->  Suggestions: Morgan, organ, Morgans, Moran
Line 61: sociolinguistics, ->  No suggestions available
Line 61: psycholinguistics, ->  No suggestions available
Line 61: neurolinguistics, ->  No suggestions available
Line 61: Noam ->  Suggestions: foam, loam, norm, roam, Nam, Noah
Line 61: Chomsky ->  Suggestions: Chomsky
Line 61: Steven ->  Suggestions: Steven, Stevens, seven, Steve
Line 61: hypothesise ->  Suggestions: hypothesis, hypothesize
Line 61: (Jurafsky ->  No suggestions available
Line 61: Vaneechoutte ->  No suggestions available
Line 67: (Tsujii ->  No suggestions available
Line 67: (NLP), ->  Suggestions: alp, nap, nip, LP, Np
Line 67: (AI), ->  Suggestions: AI, aid, ail, aim, air, i, A, Ab, Ac, Ad, Ag, Ah, AIs, Al, Am, An, Ar, As, At, Au, Av, Aw, Ax, bi, hi, ii, mi, oi, pi, ti, vi, xi, AA, AF, AK, Ali, AP, API, AVI, AZ, CAI, Ci, Di, GI, Ia, Li, MAI, Ni, RI, Si, WI
Line 73: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 73: emphasises ->  Suggestions: emphasis's, emphasizes
Line 79: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 79: modelled ->  Suggestions: modeled
Line 79: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 91: (NLP). ->  Suggestions: alp, nap, nip, LP, Np
Line 91: NLP ->  Suggestions: alp, nap, nip, LP, Np
Line 91: underfund ->  Suggestions: underfed, underfeed
Line 91: Indian ->  Suggestions: Indian, Indiana, Indians, India
Line 91: NLP. ->  Suggestions: alp, nap, nip, LP, Np
Line 97: (POS) ->  Suggestions: poss, poos, pis, pod, pow, pox, pus, pews, pose, posh, post, posy, cos, dos, hos, mos, nos, ops, pas, pods, poi, pol, pols, pom, poms, poo, pop, pops, pot, pots, pros, iOS, Los, Os, P's, PBS, PMS, Po, Po's, Poe, PPS, PS, SOS
Line 97: underfund ->  Suggestions: underfed, underfeed
Line 97: Indian ->  Suggestions: Indian, Indiana, Indians, India
Line 97: NLP, ->  Suggestions: alp, nap, nip, LP, Np
Line 97: POS ->  Suggestions: poss, poos, pis, pod, pow, pox, pus, pews, pose, posh, post, posy, cos, dos, hos, mos, nos, ops, pas, pods, poi, pol, pols, pom, poms, poo, pop, pops, pot, pots, pros, iOS, Los, Os, P's, PBS, PMS, Po, Po's, Poe, PPS, PS, SOS
Line 97: Penn ->  Suggestions: pen, peen, Penn, penny, Penna, pend, pens, pent, peon, Pena, Tenn, Venn
Line 97: Treebank ->  No suggestions available
Line 97: POS ->  Suggestions: poss, poos, pis, pod, pow, pox, pus, pews, pose, posh, post, posy, cos, dos, hos, mos, nos, ops, pas, pods, poi, pol, pols, pom, poms, poo, pop, pops, pot, pots, pros, iOS, Los, Os, P's, PBS, PMS, Po, Po's, Poe, PPS, PS, SOS
